quadrat,5,,
waypoint,1,,
grid_reference,TL6809333054,,
photo_up,P6200001,,
photo_down,P6200002,,
wetness,2,,
canopy,45,,
species,Galium aparine,,Large Poplar felled just outside quadrat and the fallen tree gnawed by beavers
,Rubus fruticosus,,
,Glechoma hederacea,,
,Holcus lanatus,,
,Urtica dioica,,
,Silene dioica,,
,Mercurialis perennis,,
,Arrhenatherum elatius,,
,Heracleum sphondylium,,
,Rubus caesius,,
,Anisantha sterilis,,
,Poa trivialis,,
quadrat,32,,
waypoint,2,,
grid_reference,TL6805333060,,
photo_up,P6200003,,
photo_down,P6200004,,
wetness,2,,
canopy,35,,
species,Urtica dioica,,
,Silene dioica,,
,Galium aparine,,
,Holcus lanatus,,
,Stachys sylvatica,,
,Glechoma hederacea,,
,Ulmus procera,sapling,
,Anisantha sterilis,,
,Rubus fruticosus,,
,Myosotis sylvatica,,
,Mercurialis perennis,,
,Poa trivialis,,
,Schedonorus giganteus,,
,Bromopsis ramosa,,
,Geum urbanum,,
,Rumex sanguineus,,
,Salix cinerea,,
quadrat,31,,
waypoint,3,,
grid_reference,TL6802633060,,
photo_up,P6200005,,
photo_down,P6200006,,
wetness,4,spans a beaver canal so averaged to 4,
canopy,5,,
species,Carex pendula,,
,Filipendula ulmaria,,
,Stachys sylvatica,,
,Urtica dioica,,
,Rubus fruticosus,,
,Galium aparine,,
,Scrophularia auriculata,,
,Mercurialis perennis,,
,Juncus effusus,,
,Juncus inflexus,,
,Holcus lanatus,,
,Poa trivialis,,
,Glechoma hederacea,,
,Epilobium hirsutum,,
,Solanum dulcamara,,
,Arrhenatherum elatius,,
,Persicaria lapathifolia,,
,Sonchus sp?,,
,Ranunculus repens,,
,Brachypodium sylvaticum,,
quadrat,47,,
waypoint,4,,
grid_reference,TL6802433086,,
photo_up,P6200007,,
photo_down,P6200008,,
wetness,2,,
canopy,55,,
species,Galium aparine,,
,Urtica dioica,,
,Silene dioica,,
,Angelica sylvestris,,
,Glechoma hederacea,,
,Myosotis arvensis,,
,Adoxa moschatellina,,
,Ulmus procera,canopy,
,Mercurialis perennis,,
quadrat,50,,
waypoint,5,,
grid_reference,TL6800533085,,
photo_up,P6200009,,
photo_down,P6200010,,
wetness,2,,
canopy,40,,
species,Carduus crispus,,
,Symphytum x uplandicum,,
,Arrhenatherum elatius,,
,Geranium robertianum,,
,Galium aparine,,
,Heracleum sphondylium,,
,Rubus caesius,,
,Stachys sylvatica,,
,Angelica sylvestris,,
,Urtica dioica,,
,Fraxinus excelsior,,
,Mercurialis perennis,,
,Myosotis sylvatica,,
,Circaea lutetiana,,
quadrat,35,,
waypoint,6,,
grid_reference,TL6798933058,,
photo_up,P6200011,,
photo_down,P6200012,,
wetness,5,,
canopy,65,,
species,,"all open water near dam, which extends from the original ditch by about 20m",
quadrat,49,,
waypoint,7,,
grid_reference,TL6797233094,,
photo_up,P6200013,,
photo_down,P6200014,,
wetness,1,,
canopy,90,,
species,Urtica dioica,,
,Glechoma hederacea,,
,Silene dioica,,
,Galium aparine,,
,Angelica sylvestris,,
,Alliaria petiolata,,
,Anthriscus sylvestris,,
,Sambucus nigra,,
,Poa trivialis,,
,Myosotis sylvatica,,
,Stachys sylvatica,,
quadrat,34,,
waypoint,8,,
grid_reference,TL6796833063,,
photo_up,P6200015,,
photo_down,P6200016,,
wetness,5,,
canopy,40,,
species,Veronica beccabunga,edge of ditch which now has mud dam,
,Plantago major,,
,Symphytum x uplandicum,,
,Ranunculus repens,,
,Rubus fruticosus,,
,Carex pendula,,
,Angelica sylvestris,,
,Cardamine flexuosa,,
,Galium aparine,,
,Poa trivialis,,
,Salix cinerea,canopy,
,Scrophularia auriculata,,
,Rumex sanguineus,,
quadrat,42,,
waypoint,9,,
grid_reference,TL6793733095,,
photo_up,P6200017,,
photo_down,P6200018,,
wetness,5,,
canopy,90,,
species,Urtica dioica,"point is in the water near springhead, species were on the bank",
,Mercurialis perennis,,
,Angelica sylvestris,,
,Solanum dulcamara,,
,Nasturtium officinale,,
quadrat,57,,
waypoint,10,,
grid_reference,TL6794533124,,
photo_up,P6200019,,
photo_down,P6200020,,
wetness,1,,
canopy,10,,
species,Dactylis glomerata,Between fence and hedge which comprises Corylus avellana and Sambucus nigra,
,Anthriscus sylvestris,,
,Urtica dioica,,
,Arrhenatherum elatius,,
,Galium aparine,,
,Mercurialis perennis,,
,Silene dioica,,
,Ranunculus repens,,
,Taraxacum officinale,,
quadrat,56,,
waypoint,11,,
grid_reference,TL6790933115,,
photo_up,P6200021,,
photo_down,P6200022,,
wetness,2,,
canopy,85,Young ash dying nearby,
species,Urtica dioica,,
,Galium aparine,,
,Rubus caesius,,
,Glechoma hederacea,,
,Mercurialis perennis,,
,Silene dioica,,
,Sambucus nigra,,
quadrat,7,,
waypoint,12,,
grid_reference,TL6791133153,,
photo_up,P6200023,,
photo_down,P6200024,,
wetness,1,,
canopy,98,,
species,Mercurialis perennis,,
,Urtica dioica,,
,Rubus fruticosus,,
,Fagus sylvatica,,
,Malus sylvestris,canopy,
,Ulmus procera,canopy,
,Acer campestre,canopy,
quadrat,9,,
waypoint,13,,
grid_reference,TL6788233149,,
photo_up,P6200025,,
photo_down,P6200026,,
wetness,1,,
canopy,95,,
species,Urtica dioica,,
,Silene dioica,,
,Galium aparine,,
,Glechoma hederacea,,
,Myosotis sylvatica,,
,Sambucus nigra,,
,Kindbergia praelonga,,
,Ulmus procera,,
quadrat,59,,
waypoint,14,,
grid_reference,TL6787433120,,
photo_up,P6200027,,
photo_down,P6200028,,
wetness,3,,
canopy,5,,
species,Urtica dioica,"dead ash nearby, near a new or extended dam",
,Silene dioica,,
,Myosotis sylvatica,,
,Sambucus nigra,,
,Mercurialis perennis,,
,Galium aparine,,
,Poa trivialis,,
,Brachythecium rutabulum,,
,Kindbergia praelonga,,
quadrat,8,,
waypoint,15,,
grid_reference,TL6784833144,,
photo_up,P6200029,,
photo_down,P6200030,,
wetness,2,,
canopy,85,,
species,Eupatorium cannabinum,E.cannabinum appears to have spread in this area,
,Ranunculus repens,,
,Galium aparine,,
,Arctium minus,,
,Myosotis sylvatica,,
,Poa trivialis,,
,Cirsium vulgare,,
,Glechoma hederacea,,
quadrat,25,,
waypoint,16,,
grid_reference,TL6785033176,,
photo_up,P6200031,,
photo_down,P6200032,,
wetness,1,,
canopy,40,,
species,Urtica dioica,,
,Galium aparine,,
,Mercurialis perennis,,
,Glechoma hederacea,,
,Kindbergia praelonga,,
,Brachythecium rutabulum,,
,Quercus robur,canopy,
quadrat,22,,
waypoint,17,,
grid_reference,TL6781433173,,
photo_up,P6200033,,
photo_down,P6200034,,
wetness,2,,
canopy,80,,
species,Urtica dioica,,
,Galium aparine,,
,Mercurialis perennis,,
,Glechoma hederacea,,
,Silene dioica,,
,Sambucus nigra,,
,Myosotis sylvatica,,
,Circaea lutetiana,,
,Acer campestre,canopy,
quadrat,37,,
waypoint,18,,
grid_reference,TL6782033205,,
photo_up,P6200035,,
photo_down,P6200036,,
wetness,1,,
canopy,95,from photo as forgot to write it down,
species,Urtica dioica,,
,Mercurialis perennis,,
,Galium aparine,,
,Silene dioica,,
,Cirsium vulgare,,
,Glechoma hederacea,,
,Poa trivialis,,
,Ulmus procera,canopy,
quadrat,4,,
waypoint,19,,
grid_reference,TL6781733141,,
photo_up,P6200037,,
photo_down,P6200038,,
wetness,4,"Average, edge of beaver ponded area, dammed ditch, point may be further from edge of ditch than last time.",
canopy,0,,
species,Eupatorium cannabinum,,
,Carex acutiformis,,
,Galium aparine,,
,Silene dioica,,
,Filipendula ulmaria,,
,Urtica dioica,,
,Calystegia sepium,,
,Carduus crispus,,
,Scrophularia auriculata,,
,Veronica beccabunga,,
,Nasturtium officinale,,
,Mentha aquatica,,
quadrat,21,,
waypoint,20,,
grid_reference,TL6779033174,,
photo_up,P6200039,,
photo_down,P6200040,,
wetness,2,,
canopy,99,,
species,Galium aparine,,
,Rubus fruticosus,,
,Glechoma hederacea,,
,Stachys sylvatica,,
,Carduus crispus,,
,Mercurialis perennis,,
,Eupatorium cannabinum,,
,Ranunculus repens,,
,Myosotis sylvatica,,
,Tilia europaea,canopy,
,Sambucus nigra,,
,Angelica sylvestris,,
,Carex sylvatica,,
,Poa trivialis,,
,Fraxinus excelsior,canopy,
quadrat,36,,
waypoint,21,,
grid_reference,TL6778833206,,
photo_up,P6200041,,
photo_down,P6200042,,
wetness,1,,
canopy,65,next to cleared area under powerlines,
species,Urtica dioica,,
,Glechoma hederacea,,
,Mercurialis perennis,,
,Sambucus nigra,,
,Galium aparine,,
,Brachythecium rutabulum,,
quadrat,53,,
waypoint,22,,
grid_reference,TL6775933234,,
photo_up,P6200043,,
photo_down,P6200044,,
wetness,1,,
canopy,98,,
species,Urtica dioica,,
,Adoxa moschatellina,,
,Silene dioica,,
,Glechoma hederacea,,
,Sambucus nigra,canopy,
,Acer campestre,canopy,
,Galium aparine,,
,Populus alba,canopy,
quadrat,51,,
waypoint,23,,
grid_reference,TL6772833234,,
photo_up,P6200045,,
photo_down,P6200046,,
wetness,4,on edge of beaver ponded area,
canopy,5,,
species,Angelica sylvestris,,
,Carduus crispus,,
,Myosotis sylvatica,,
,Galium aparine,,
,Urtica dioica,,
,Rumex obtusifolius,,
,Rumex sanguineus,,
,Silene dioica,,
,Stachys sylvatica,,
,Ranunculus repens,,
,Mentha aquatica,,
,Mercurialis perennis,,
,Holcus lanatus,,
quadrat,1,,
waypoint,24,,
grid_reference,TL6772833265,,
photo_up,P6200047,,
photo_down,P6200048,,
wetness,2,,
canopy,25,On edge of bat willow plantation,
species,Cirsium palustre,,
,Rumex sanguineus,,
,Galium aparine,,
,Holcus lanatus,,
,Angelica sylvestris,,
,Urtica dioica,,
,Silene dioica,,
,Poa trivialis,,
,Ranunculus repens,,
,Mercurialis perennis,,
,Dactylis glomerata,,
quadrat,16,,
waypoint,25,,
grid_reference,TL6769833294,,
photo_up,P6200049,,
photo_down,P6200050,,
wetness,2,,
canopy,15,,
species,Carex acutiformis,,
,Scrophularia auriculata,,
,Symphytum x uplandicum,,
,Poa trivialis,,
,Carduus crispus,,
,Arrhenatherum elatius,,
,Cirsium palustre,,
,Mentha aquatica,,
,Pulicaria dysenterica,,
,Holcus lanatus,,
,Filipendula ulmaria,,
,Angelica sylvestris,,
,Galium aparine,,
,Ranunculus repens,,
,Myosotis sylvatica,,
,Vicia cracca,,
,Hypericum tetrapterum,,
,Rubus fruticosus,,
,Rumex sanguineus,,
,Primula elatior,,
quadrat,62,,
waypoint,26,,
grid_reference,TL6766633264,,
photo_up,P6200051,,
photo_down,P6200052,,
wetness,1,,
canopy,2,nr perimeter fence top of bank,
species,Rubus fruticosus,,
,Galium aparine,,
,Urtica dioica,,
,Glechoma hederacea,,
,Holcus lanatus,,
,Arrhenatherum elatius,,
,Rumex sanguineus,,
,Jacobaea vulgaris,,
,Rumex obtusifolius,,
,Carduus crispus,,
,Poa trivialis,,
quadrat,63,,
waypoint,27,,
grid_reference,TL6769933264,,
photo_up,P6200053,,
photo_down,P6200054,,
wetness,1,,
canopy,15,,
species,Filipendula ulmaria,,
,Arrhenatherum elatius,,
,Alopecurus pratensis,,
,Dactylis glomerata,,
,Galium aparine,,
,Carex acutiformis,,
,Glechoma hederacea,,
,Angelica sylvestris,,
,Poa trivialis,,
quadrat,39,,
waypoint,28,,
grid_reference,TL6775933203,,
photo_up,P6200055,,
photo_down,P6200056,,
wetness,1,,
canopy,90,,
species,Silene dioica,,
,Glechoma hederacea,,
,Mercurialis perennis,,
,Urtica dioica,,
,Salix alba,canopy,
,Myosotis sylvatica,,
,Kindbergia praelonga,,
,Brachythecium rutabulum,,
