quadrat,45,
waypoint,1,
grid_reference,TL6770133235,
photo_up,P6210057,
photo_down,P6210058,
wetness,3,average includes bank-channel.  Stream now has beaver dams and water >5cm deep
canopy,55,
species,Urtica dioica,
,Mercurialis perennis,
,Galium aparine,
,Tamus communis,
,Mentha aquatica,
,Glechoma hederacea,
,Carduus crispus,
,Sambucus nigra,canopy
quadrat,33,
waypoint,2,
grid_reference,TL6769833201,
photo_up,P6210059,
photo_down,P6210060,
wetness,1,
canopy,55,on hedge near fence
species,Urtica dioica,
,Galium aparine,
,Carduus crispus,
,Anisantha sterilis,
,Dactylis glomerata,
,Mercurialis perennis,
,Silene dioica,
,Myosotis arvensis,
,Glechoma hederacea,
,Sambucus nigra,canopy
,Crataegus monogyna,canopy
,Holcus lanatus,
,Arrhenatherum elatius,
,Poa trivialis,
quadrat,38,
waypoint,3,
grid_reference,TL6773033201,
photo_up,P6210061,
photo_down,P6210062,
wetness,1,
canopy,85,
species,Mercurialis perennis,
,Galium aparine,
,Poa trivialis,
,Tilia europaea,
,Urtica dioica,
,Fraxinus excelsior,canopy
,Ulmus procera agg.,
quadrat,55,
waypoint,4,
grid_reference,TL6808833023,
photo_up,P6200063,
photo_down,P6200064,
wetness,1,
canopy,0,on arable reversion nearer to fences than has been on previous surveys
species,Rumex obtusifolius,
,Arrhenatherum elatius,
,Holcus lanatus,
,Poa trivialis,
,Urtica dioica,
,S. x uplandicum,
,Jacobaea vulgaris,
,Papaver rhoeas,
,Galium aparine,
,Carduus crispus,
,Sonchus asper,
,Potentilla reptans,
,Anthriscus sylvestris,
,Anisantha sterilis,
,Ranunculus repens,
,Stachys sylvatica,
,Bromus racemosus,
,Schedonorus arundinaceus,
,Geranium dissectum,
,Lolium perenne,
,Festuca rubra,
quadrat,28,
waypoint,5,
grid_reference,TL6793133054,
photo_up,P6210065,
photo_down,P6210066,
wetness,5,
canopy,5,"nr pile of logs and beaver canals, water cress and water figwort more abundant and J effusus more vigorous than in previous surveys"
species,Juncus effusus,
,Juncus inflexus,
,Carex pendula,
,Scrophularia auriculata,
,Mentha aquatica,
,Nasturtium officinale,
,Silene dioica,
,Poa trivialis,
,Solanum dulcamara,
,Cirsium palustre,
,Mentha aquatica,
,Rubus fruticosus agg.,
,Filipendula ulmaria,
quadrat,11,
waypoint,6,
grid_reference,TL6793633026,
photo_up,P6210067,
photo_down,P6210068,
wetness,2,
canopy,60,
species,Urtica dioica,
,Humulus lupulus,
,Salix aurita,
,Calystegia sepium,
